Colonoscopy,Face mask (physical object),Intramuscular injection,Medication Reconciliation (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Suture open wound,Throat culture (procedure),Fitness,Controlled ventilation procedure and therapy  initiation and management (procedure),Hemodialysis (procedure),Pulmonary rehabilitation (regime/therapy),Spirometry (procedure)
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.6666555557407376,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.6666555557407376,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.6666555557407376,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999608697353489,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999608697353489,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999608697353489,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999521743289189,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999521743289189,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999521743289189,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999521743289189,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999521743289189,0.0,0.0,0.0,0.0
0,0,4,0,0,0,0,0,0,0.33333333333333337,0.0,0.0,0.0,0.0
0,0,4,0,0,0,0,0,0,0.33333333333333337,0.0,0.0,0.0,0.0
0,0,4,0,0,0,0,0,0,0.33333333333333337,0.0,0.0,0.0,0.0
0,0,4,0,0,0,0,0,0,0.33333333333333337,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.7999840003199936,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0.9687033206042462,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0.9687033206042462,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999520003839969,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999520003839969,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999520003839969,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999520003839969,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999520003839969,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999520003839969,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999518522085021,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999518522085021,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999518522085021,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999580646514044,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999580646514044,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.6666555557407376,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,0,0.6666555557407376,0.0,0.0,0.0,0.0
